dataset_id,metric,n_shared_values,mean_delta_T,median_delta_T,frac_delta_T_positive,mean_delta_V,median_delta_V,frac_delta_V_positive,shared_values_json
20newsgroups,ami,6,0.04217515749079368,0.041669843827806696,1.0,0.0045958777305974375,0.006480718744424047,0.8333333333333334,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
20newsgroups,ari,6,0.06118324877725532,0.07106181422877506,1.0,-0.008060805050108318,-0.005793704250174447,0.16666666666666666,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
20newsgroups,jaccard,6,0.07804715641339799,0.08978845980482181,1.0,-0.0033527822958668504,-0.002068911804524745,0.16666666666666666,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
ag_news,ami,6,-0.0706352482935675,-0.07018075875586399,0.16666666666666666,-0.071307013728611,-0.09003844348502801,0.16666666666666666,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
ag_news,ari,6,-0.08981170582110796,-0.0925528464767651,0.16666666666666666,-0.07011294937101807,-0.08225236517230183,0.16666666666666666,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
ag_news,jaccard,6,-0.07904914140333873,-0.08567264952080478,0.16666666666666666,-0.020346720636657305,-0.018662253257816258,0.16666666666666666,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
cifar10,ami,6,0.007735505336269414,-0.008339800367151262,0.5,0.019342095078588528,0.01820587007306662,0.8333333333333334,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
cifar10,ari,6,0.003577220904951106,-0.018433575889517995,0.3333333333333333,0.01634415408444977,0.008314129815603422,0.8333333333333334,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
cifar10,jaccard,6,0.003831275422550943,-0.02400212885069436,0.3333333333333333,0.011900002290170691,0.006204656505710393,0.8333333333333334,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
mnist,ami,6,0.00833158664377548,0.007179110195813243,0.5,0.013926674564639733,0.006578222833097225,0.6666666666666666,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
mnist,ari,6,0.0008568172752998482,0.0046473929696457805,0.5,-0.011879793850924433,-0.0179037877374445,0.3333333333333333,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
mnist,jaccard,6,0.003188465990619412,0.009252807097543392,0.5,-0.012854311426141407,-0.019573128489448754,0.3333333333333333,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
olivetti_faces,ami,6,0.013458086323754467,0.007489820735366137,1.0,-0.042500745063442646,-0.055243636815608954,0.16666666666666666,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
olivetti_faces,ari,6,0.028312927604433807,0.02276360842374181,1.0,-0.035000224770586445,-0.04597168493778139,0.16666666666666666,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
olivetti_faces,jaccard,6,0.03797223379931791,0.027672715776033252,1.0,-0.03004796252811126,-0.039519956141135376,0.16666666666666666,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
uci_har,ami,6,0.00822963865430106,-0.006481199959275208,0.3333333333333333,0.012851377037091808,-0.010869938931144796,0.3333333333333333,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
uci_har,ari,6,0.0064654033228375525,-0.005663761436118575,0.3333333333333333,0.003967657933313801,-0.015802044814732186,0.3333333333333333,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
uci_har,jaccard,6,0.01069702994956967,-0.00912072171697148,0.3333333333333333,0.005947878098879339,-0.013991144314332599,0.3333333333333333,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
